passenger_id,survived,pclass,pname,sex,age,sibsp,parch,port,fare
1,0,3,"Braund, Mr. Owen Harris",male,22,1,0,S,7.25
2,1,1,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",female,38,1,0,C,71.28
3,1,3,"Heikkinen, Miss. Laina",female,26,0,0,S,7.93
4,1,1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",female,35,1,0,S,53.10
5,0,3,"Allen, Mr. William Henry",male,35,0,0,S,8.05
7,0,1,"McCarthy, Mr. Timothy J",male,54,0,0,S,51.86
8,0,3,"Palsson, Master. Gosta Leonard",male,2,3,1,S,21.08
9,1,3,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",female,27,0,2,S,11.13
10,1,2,"Nasser, Mrs. Nicholas (Adele Achem)",female,14,1,0,C,30.07
11,1,3,"Sandstrom, Miss. Marguerite Rut",female,4,1,1,S,16.70
12,1,1,"Bonnell, Miss. Elizabeth",female,58,0,0,S,26.55
13,0,3,"Saundercock, Mr. William Henry",male,20,0,0,S,8.05
14,0,3,"Andersson, Mr. Anders Johan",male,39,1,5,S,31.28
15,0,3,"Vestrom, Miss. Hulda Amanda Adolfina",female,14,0,0,S,7.85
16,1,2,"Hewlett, Mrs. (Mary D Kingcome) ",female,55,0,0,S,16.00
76,0,3,"Moen, Mr. Sigurd Hansen",male,25,0,0,S,7.65
79,1,2,"Caldwell, Master. Alden Gates",male,0.8,0,2,S,29.00
80,1,3,"Dowdell, Miss. Elizabeth",female,30,0,0,S,12.48
81,0,3,"Waelens, Mr. Achille",male,22,0,0,S,9.00
82,1,3,"Sheerlinck, Mr. Jan Baptist",male,29,0,0,S,9.50
84,0,1,"Carrau, Mr. Francisco M",male,28,0,0,S,47.10
85,1,2,"Ilett, Miss. Bertha",female,17,0,0,S,10.50
86,1,3,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",female,33,3,0,S,15.85
87,0,3,"Ford, Mr. William Neal",male,16,1,3,S,34.38
89,1,1,"Fortune, Miss. Mabel Helen",female,23,3,2,S,263.00
90,0,3,"Celotti, Mr. Francesco",male,24,0,0,S,8.05
91,0,3,"Christmann, Mr. Emil",male,29,0,0,S,8.05
152,1,1,"Pears, Mrs. Thomas (Edith Wearne)",female,22,1,0,S,66.60
153,0,3,"Meo, Mr. Alfonzo",male,55.5,0,0,S,8.05
154,0,3,"van Billiard, Mr. Austin Blyler",male,40.5,0,2,S,14.50
156,0,1,"Williams, Mr. Charles Duane",male,51,0,1,C,61.38
157,1,3,"Gilnagh, Miss. Katherine ""Katie""",female,16,0,0,Q,7.73
